recipient,artist_profile,num_drops,num_unique_minters,num_farcaster_minters,num_transactions,usd_value_of_transactions,uuid_list,application_id_list
0x00409fC839a2Ec2e6d12305423d37Cd011279C09,"thesleeper",4,56,7,66,46257.845984973974,['0fca0ecb-a874-4925-805a-8d124642d9e4'],['0x86adcb2e9df89fd6a6e4919c01202dae1e63f576d0c588280237bc410b347770']
0x033f68fd9DF6bAc726e6651e95aC399dbCa3dC58,"atomo",26,234,69,382,302.93001999000006,['e80de980-f9a5-45aa-b958-395e4e25a3ba'],['0x53e3e41ac0ccd956d661d79216c7f10996bbb0bfd69595f752eba7b5e3973d4a']
0x0438053b82cB27004bd80d3ca18b8eF6b23F20Cf,"crypto-alice",3,98,84,198,3.055382280797501,['da900335-9896-498c-a469-0307fe1fd24b'],['0x6a759d26a28ae8bcb5e3ab1684d428f9618b28618a144a6a0bd69fc95ffe4dc9']
0x04715503034aE1DF07883A3Ad01aEa4e58c32D94,"mcpherson.eth",20,1,1,134,1531.139494497849,['be0db3c4-1c4f-4dc2-9865-2903faba16b8'],['0x655cf0de638d8787830d684098e30cc9ed65caa568782aaef97a696f36bb7bc4']
0x056d8e22759a9aE9359A21749c6D7d6C12d97177,"dnznjuan",2,5,3,5,0.2140620832458578,"['cca26bbf-8bda-401a-a119-4614c6e84ca5','5fe954e4-2d46-4ab0-927d-d7d8c24ad3b2','84f6693e-df7a-4215-941a-b40c4ded2b66','c9b30fb2-a42b-4747-826a-76f0f50ade2f']","['0x354f1de0f2a606b7ef8288a427345f10c896b757de1e103454415d3d75340c33', '0x54b374d31082a506793004f99bc4228203d4caec852dfbf313ca51f1342a064a', '0x92f804d7ea6cc529ee10f3c35c716675951ca996a1e468e15fb8b583399610ab', '0x1b8095eb7cf85528ba67bb5af87853db177c9ce5b63b7b76aa1b819cb0062b19']"
0x05E0cCdee8e642388DA4478FaCc6aC7c496714f6,"enamorada",4,10,10,35,0.0,['c61990c8-2bb4-4a82-9831-d2ba43565de5'],['0xeaf2195590d8a9c841aaca9c1da74ef7428d65c342d71e17238d8551bca6402d']
0x05F5EB1f02aCB65dF6A2f0f6D7Ba36490eE2D693,"arrotu",14,998,577,1395,3593.608176509997,['f82b5f57-be2a-479e-a068-e2bff7351db8'],['0x8a2df55fe79e36f4ed78277937b28a2304cfde65f4c7af56054a22afad1d7c4a']
0x07BD4932D08e5956faB224965a58BF1a441134A1,"eneowaith.eth",45,79621,23166,87180,92138.30750141243,['caf3b198-91f2-495e-96fd-67b9cb622e73'],['0xc604889111ec702c3f8df0337719f54554cc5f8adce36a63a37e1ab9b2336fa0']
0x08E0a3E752D1338c0F02b986B9504f1009a962ca,"jeffmihaly",2,197,173,244,592.0869603599997,['b21440f2-f4e8-4eb1-87d1-04323317abc2'],['0xcf7aac02e1dcaf1921f65f59fbb6e656cca1b8da3bfb83ea69c6edb31c54ad51']
0x08feaF513989e844d6E221E817EF8ec1b7f31745,"basegkc",2,2635,67,2649,31.582774000000008,"['269a13b2-f01f-45c6-93dc-473869c28bec','dd9cf410-3550-4719-989b-4d96a821a401','1e7bd524-ab1f-4c85-92b1-0ff8274873b8','dae521e3-edee-46a9-ae9b-6a74bd3f2217']","['0x8ed69f33c4b11d9bc34cf18a522235529d5d21d4d2e287b68e5103100f02ee8e', '0x3123f7a5b1be4a6c23a50ceda859da2b76db0231bf71a9661b165b94bb43f7ec', '0xdc9b52de58a7fbc84bf65151ff46944b6805a1cbc8156d3cb85ef9fa726bc31f', '0xe644ea702564764dee79d36b254a4fd48184e6fea3a0ffab2bedbeedbf750901']"
0x0964256674E42d61f0fF84097E28F65311786ccb,"dawufi",6,87,82,125,339.6058756470629,['47d1c997-a753-4ffd-9a2e-657a0598f77c'],['0x05c87e03a2257d8738864244dfcc7c4c85a61157651012e9b5af25b0d75339bd']
0x0B81BfFce9970aca9868120eEE1bcc8De19119F7,"mahnaaz",16,144188,16760,148122,38781.670112904765,['89aabf68-45a8-4db6-9d32-2d4cd96cc4ad'],['0xf81ae24ef5932f6e3d03a91054252b1986d35001f5514ccd96278837712b795c']
0x0BBAD437C1A31562FBd3a598380dB12a770FAbbd,"0xsignal",1,8,3,3,0.0,['c50d8975-af73-4a92-bcee-7f5fe92a314b'],['0x2fe783dc8074803a3c3af778bd0f1474556f7c0dc4a7b0d3737937eb31862e61']
0x0F23189b256939996dEc01766F6b2E581AFb5bB3,"seattlecrypto.eth",2,6,1,168,0.0,['3c6f92c8-d7d6-4adf-a438-cca0a5959bba'],['0xd3b9729c17cff31661d893cbdeedde35765172608e2bfa7fb5f43555b0c739bc']
0x0cE98350b9Dea81fe0b47DBC4787a1E9f8F1D7ff,"priyanka",8,54052,8246,62902,19715.28492348012,['62639f3a-d917-4a98-b9ff-559086b79906'],['0xc27b8c2e315f8a775be318263ea0941d4413aafd2c9dad5fc1cdc21e3487e6cf']
